MouseMGIID	MarkerSymbol	MarkerName	MouseSymbol	MouseName	MP_ID	MP_Term	AlleleAccID	HomologyClusterID	HumanNCBIorMGIID	HumanSymbol	HumanName
MGI:2181074	Acbd3		Acbd3		MP:0011100		Acbd3<tm1b(EUCOMM)Hmgu>	50218322	HGNC:15453	ACBD3	
MGI:87874	Ace		Ace		MP:0001260,MP:0011100		Ace<+>|Ace<tm1Unc>|Ace<tm1.1(KOMP)Vlcg>	50221051	HGNC:2707	ACE	
MGI:87876	Ache		Ache		MP:0011101		Ache<tm1Loc>	50231430	HGNC:108	ACHE	
MGI:109562	Ackr3		Ackr3		MP:0011100		Ackr3<tm2b(EUCOMM)Wtsi>	50219294	HGNC:23692	ACKR3	
MGI:87880	Aco2		Aco2		MP:0011100		Aco2<em1(IMPC)J>	50218065	HGNC:118	ACO2	
MGI:1921406	Acot12		Acot12		MP:0001260		Acot12<em1Ejj>	50232956	HGNC:24436	ACOT12	
MGI:1914084	Acot13		Acot13		MP:0001260		Acot13<tm1Deco>	50227265	HGNC:20999	ACOT13	
MGI:87904	Actb		Actb		MP:0011100		Actb<tm3.1(Sirt1)Npa>	50217187	HGNC:132	ACTB	
MGI:87905	Actc1		Actc1		MP:0011100		Actc1<em1(IMPC)Mbp>	50217180	HGNC:143	ACTC1	
MGI:1861453	Actl6a		Actl6a		MP:0011100		Actl6a<em1(IMPC)J>	50217648	HGNC:24124	ACTL6A	
MGI:1924748	Actr5		Actr5		MP:0011100		Actr5<tm2b(EUCOMM)Wtsi>	50229166	HGNC:14671	ACTR5	
MGI:1914269	Actr6		Actr6		MP:0011100		Actr6<tm1a(EUCOMM)Wtsi>	50228983	HGNC:24025	ACTR6	
MGI:1860775	Actr8		Actr8		MP:0011100		Actr8<tm1.1(KOMP)Vlcg>	50229098	HGNC:14672	ACTR8	
MGI:87911	Acvr1		Acvr1		MP:0011100		Acvr1<tm1.1(KOMP)Vlcg>	50217195	HGNC:171	ACVR1	
MGI:1338944	Acvr1b		Acvr1b		MP:0011100		Acvr1b<tm1.1(KOMP)Vlcg>	50217196	HGNC:172	ACVR1B	
MGI:87912	Acvr2b		Acvr2b		MP:0011100		Acvr2b<tm1.1(KOMP)Vlcg>	50217194	HGNC:174	ACVR2B	
MGI:1096335	Adam17		Adam17		MP:0001260		Adam17<+>|Adam17<tm1a(EUCOMM)Wtsi>	50217202	HGNC:195	ADAM17	
MGI:3588195	Adamts17		Adamts17		MP:0011101		Adamts17<tm1.2Taks>	50232718	HGNC:17109	ADAMTS17	
MGI:3045353	Adamts3		Adamts3		MP:0011100		Adamts3<tm1b(KOMP)Wtsi>	50232537	HGNC:219	ADAMTS3	
MGI:1347348	Adamts6		Adamts6		MP:0011100		Adamts6<em1(IMPC)Mbp>	50227833	HGNC:222	ADAMTS6	
MGI:1916320	Adamts9		Adamts9		MP:0011100		Adamts9<Mhdaund3>|Adamts9<tm1.2Cvrk>|Adamts9<Mhdaund4>|Adamts9<tm1b(KOMP)Wtsi>	50224213	HGNC:13202	ADAMTS9	
MGI:1889575	Adar		Adar		MP:0011100		Adar<tm1b(EUCOMM)Wtsi>	50219876	HGNC:225	ADAR	
MGI:1914007	Adat2		Adat2		MP:0011100		Adat2<em1(IMPC)J>	50219406	HGNC:21172	ADAT2	
MGI:102891	Adcy7		Adcy7		MP:0011101		Adcy7<tm1Btab>	50217215	HGNC:238	ADCY7	
MGI:87918	Add1		Add1		MP:0011101		Add1<tm1Llp>	50218552	HGNC:243	ADD1	
MGI:1916151	Adgrg6		Adgrg6		MP:0011100,MP:0011101		Adgrg6<tm1Lex>	50217723	HGNC:13841	ADGRG6	
MGI:106675	Adipoq		Adipoq		MP:0001260		Adipoq<tm1Chan>|Adipoq<tm1Far>	50217174	HGNC:13633	ADIPOQ	
MGI:87930	Adk		Adk		MP:0011100		Adk<em1(IMPC)Ccpcz>	50217228	HGNC:257	ADK	
MGI:108058	Adm		Adm		MP:0011100		Adm<tm1Tfjt>	50232644	HGNC:259	ADM	
MGI:1338758	Adnp		Adnp		MP:0011101		Adnp<+>|Adnp<em1Ant>	50217231	HGNC:15766	ADNP	
MGI:87937	Adrb1		Adrb1		MP:0011101		Adrb1<tm1Bkk>	50230606	HGNC:285	ADRB1	
MGI:103202	Adsl		Adsl		MP:0011100		Adsl<tm1b(KOMP)Wtsi>	50221936	HGNC:291	ADSL	
MGI:87948	Adss2		Adss2		MP:0011100		Adss2<tm1b(EUCOMM)Wtsi>	50217240	HGNC:292	ADSS2	
MGI:1924596	Adtrp		Adtrp		MP:0011101		Adtrp<tm1.1Clu>	50223741	HGNC:21214	ADTRP	
MGI:1197012	Aebp1		Aebp1		MP:0011100,MP:0011101		Aebp1<tm1.1(KOMP)Wtsi>|Aebp1<tm1Hsro>	50217247	HGNC:303	AEBP1	
MGI:1314653	Afdn		Afdn		MP:0011100		Afdn<em1(IMPC)Mbp>	50224457	HGNC:7137	AFDN	
MGI:106927	Aff3		Aff3		MP:0002080		Aff3<+>|Aff3<em1Andg>|Aff3<em1Xen>|Aff3<+>	50223071	HGNC:6473	AFF3	
MGI:2136171	Aff4		Aff4		MP:0001260,MP:0011100		Aff4<em1(IMPC)Mbp>|Aff4<tm1Nosa>	50232475	HGNC:17869	AFF4	
MGI:1927170	Afg2a		Afg2a		MP:0011100		Afg2a<tm1b(KOMP)Wtsi>	50228012	HGNC:18119	AFG2A	
MGI:3036261	Afg2b		Afg2b		MP:0011100		Afg2b<em1(IMPC)Bay>	50228013	HGNC:28762	AFG2B	
MGI:104873	Aga		Aga		MP:0001260		Aga<tm1Pltn>	50231143	HGNC:318	AGA	
MGI:1917173	Agk		Agk		MP:0011100		Agk<em1(IMPC)Bay>	50221906	HGNC:21869	AGK	
MGI:1914762	Agpat2		Agpat2		MP:0011100		Agpat2<em1(IMPC)Ccpcz>	50230221	HGNC:325	AGPAT2	
MGI:892013	Agrp		Agrp		MP:0001260		Agrp<tm1Sqn>	50217273	HGNC:330	AGRP	
MGI:2146052	Agxt2		Agxt2		MP:0011100		Agxt2<em1(IMPC)Hmgu>	50223852	HGNC:14412	AGXT2	
MGI:1915033	Ahctf1		Ahctf1		MP:0011100		Ahctf1<em1(IMPC)Hmgu>	50220119	HGNC:24618	AHCTF1	
MGI:87968	Ahcy		Ahcy		MP:0011100		Ahcy<tm1b(EUCOMM)Hmgu>	50218108	HGNC:343	AHCY	
MGI:105043	Ahr		Ahr		MP:0001260		Ahr<tm1Bra>	50217279	HGNC:348	AHR	
MGI:2685080	Ak9		Ak9		MP:0011069		Ak9<em1Mdj>|Ak9<em1Mdj>|Ak9<+>	50217301	HGNC:33814	AK9	
MGI:101918	Akr1b7		Akr1b7		MP:0001260		Akr1b7<tm1.1Anm>	50217304	HGNC:382	AKR1B10	
MGI:101918	Akr1b7		Akr1b7		MP:0001260		Akr1b7<tm1.1Anm>	50217304	HGNC:37281	AKR1B15	
MGI:96853	Alad		Alad		MP:0011100		Alad<em1(IMPC)Tcp>	50229638	HGNC:395	ALAD	
MGI:87989	Alas1		Alas1		MP:0011100		Alas1<em1(IMPC)Mbp>	50217310	HGNC:396	ALAS1	
MGI:1888908	Aldh18a1		Aldh18a1		MP:0011100		Aldh18a1<tm1a(KOMP)Wtsi>	50218571	HGNC:9722	ALDH18A1	
MGI:1861722	Aldh1a3		Aldh1a3		MP:0011100		Aldh1a3<tm1b(KOMP)Wtsi>	50225239	HGNC:409	ALDH1A3	
MGI:87994	Aldoa		Aldoa		MP:0011100		Aldoa<tm1.1(KOMP)Wtsi>	50217322	HGNC:414	ALDOA	
MGI:2384774	Alg1		Alg1		MP:0011100		Alg1<tm1b(KOMP)Wtsi>	50229156	HGNC:18294	ALG1	
MGI:2142632	Alg11		Alg11		MP:0011100		Alg11<tm1.1(KOMP)Vlcg>	50221966	HGNC:32456	ALG11	
MGI:1914824	Alg13		Alg13		MP:0008762		Alg13<Gt(P035H04)Wrst>	50224885	HGNC:30881	ALG13	
MGI:1914039	Alg14		Alg14		MP:0011100		Alg14<tm2b(EUCOMM)Hmgu>	50229443	HGNC:28287	ALG14	
MGI:2384774	Alg1		Alg1		MP:0011100		Alg1<tm1b(KOMP)Wtsi>	50229156	HGNC:37258	ALG1L2	
MGI:1914731	Alg2		Alg2		MP:0011100		Alg2<tm1.1(KOMP)Vlcg>|Alg2<tm1Lex>	50223675	HGNC:23159	ALG2	
MGI:1098592	Alg3		Alg3		MP:0002080,MP:0011100		Alg3<em1(IMPC)J>	50229818	HGNC:23056	ALG3	
MGI:2444031	Alg6		Alg6		MP:0011100		Alg6<em1(IMPC)Tcp>	50229336	HGNC:23157	ALG6	
MGI:2141959	Alg8		Alg8		MP:0011100		Alg8<em1(IMPC)J>	50227910	HGNC:23161	ALG8	
MGI:1924753	Alg9		Alg9		MP:0011100		Alg9<em1(IMPC)J>	50230874	HGNC:15672	ALG9	
MGI:2384034	Alkbh1		Alkbh1		MP:0011100		Alkbh1<tm1b(EUCOMM)Hmgu>	50225892	HGNC:17911	ALKBH1	
MGI:1919291	Alkbh4		Alkbh4		MP:0011100		Alkbh4<tm1.1Geno>	50227406	HGNC:21900	ALKBH4	
MGI:1934606	Alms1		Alms1		MP:0001260		Alms1<Gt(XH152)Byg>|Alms1<m1Btlr>|Alms1<m3Btlr>|Alms1<m4Btlr>|Alms1<m5Btlr>|Alms1<m6Btlr>	50221710	HGNC:428	ALMS1	
MGI:1345140	Aloxe3		Aloxe3		MP:0011100		Aloxe3<em1(IMPC)Mbp>	50217338	HGNC:13743	ALOXE3	
MGI:87984	Akp3		Akp3		MP:0001260		Akp3<tm1Jlm>	50217351	HGNC:441	ALPG	
MGI:87984	Akp3		Akp3		MP:0001260		Akp3<tm1Jlm>	50217351	HGNC:437	ALPI	
MGI:87984	Akp3		Akp3		MP:0001260		Akp3<tm1Jlm>	50217351	HGNC:439	ALPP	
MGI:1921268	Als2		Als2		MP:0001260		Als2<tm1Cai>	50217354	HGNC:443	ALS2	
MGI:2443564	Ambra1		Ambra1		MP:0002080,MP:0011100		Ambra1<em1(IMPC)Bay>	50223694	HGNC:25990	AMBRA1	
MGI:2443978	Amdhd2		Amdhd2		MP:0011100		Amdhd2<em1(IMPC)Mbp>	50231182	HGNC:24262	AMDHD2	
MGI:1922973	Amotl1		Amotl1		MP:0011101		Amotl1<em1Rstot>	50232385	HGNC:17811	AMOTL1	
MGI:3646700	Amt		Amt		MP:0002080,MP:0011100		Amt<Gt(OST181110)Lex>|Amt<em1(IMPC)Tcp>	50221360	HGNC:473	AMT	
MGI:103097	Anapc1		Anapc1		MP:0011100		Anapc1<em1(IMPC)J>	50226038	HGNC:19988	ANAPC1	
MGI:1916249	Anapc10		Anapc10		MP:0011100		Anapc10<em1(IMPC)J>	50231968	HGNC:24077	ANAPC10	
MGI:1916260	Anapc13		Anapc13		MP:0011100		Anapc13<tm2b(EUCOMM)Wtsi>	50227436	HGNC:24540	ANAPC13	
MGI:1922680	Anapc15		Anapc15		MP:0011100		Anapc15<tm1.1(KOMP)Vlcg>	50230152	HGNC:24531	ANAPC15	
MGI:1098673	Anapc4		Anapc4		MP:0011100		Anapc4<tm1b(EUCOMM)Wtsi>	50227711	HGNC:19990	ANAPC4	
MGI:1929722	Anapc5		Anapc5		MP:0011100		Anapc5<em1(IMPC)Bay>	50228868	HGNC:15713	ANAPC5	
MGI:1888999	Angptl4		Angptl4		MP:0011101		Angptl4<tm1Vlcg>	50221952	HGNC:16039	ANGPTL4	
MGI:88024	Ank1		Ank1		MP:0011100,MP:0011101		Ank1<M1Wlst>|Ank1<MRI23420>|Ank1<pale>	50217379	HGNC:492	ANK1	
MGI:88025	Ank2		Ank2		MP:0001260		Ank2<tm2.1Bnt>|Ank2<tm3.1Bnt>	50217380	HGNC:493	ANK2	
MGI:88026	Ank3		Ank3		MP:0011100,MP:0011101		Ank3<em1(IMPC)Bay>|Ank3<tm2.2Bnt>	50217381	HGNC:494	ANK3	
MGI:1337008	Ankfy1		Ankfy1		MP:0011100		Ankfy1<tm1b(KOMP)Mbp>	50228857	HGNC:20763	ANKFY1	
MGI:1918775	Ankle1		Ankle1		MP:0011101		Ankle1<tm1(KOMP)Wtsi>|Ankle1<tm1.2(KOMP)Wtsi>	50231757	HGNC:26812	ANKLE1	
MGI:2144755	Ankmy2		Ankmy2		MP:0011100		Ankmy2<em1(IMPC)Bay>	50217385	HGNC:25370	ANKMY2	
MGI:1924337	Ankrd11		Ankrd11		MP:0011100		Ankrd11<tm1b(EUCOMM)Wtsi>	50221497	HGNC:21316	ANKRD11	
MGI:1917887	Ankrd26		Ankrd26		MP:0001260		Ankrd26<Gt(XK525)Byg>	50217389	HGNC:29186	ANKRD26	
MGI:1930842	Ankrd49		Ankrd49		MP:0011100		Ankrd49<em1(IMPC)Tcp>	50229719	HGNC:25970	ANKRD49	
MGI:2444029	Ankrd52		Ankrd52		MP:0011100		Ankrd52<em1(IMPC)J>	50217395	HGNC:26614	ANKRD52	
MGI:1919865	Anks3		Anks3		MP:0011100		Anks3<em1(IMPC)J>	50230512	HGNC:29422	ANKS3	
MGI:1922941	Anks6		Anks6		MP:0011100		Anks6<tm1b(KOMP)Wtsi>	50231231	HGNC:26724	ANKS6	
MGI:1920174	Anln		Anln		MP:0011100		Anln<em1(IMPC)Bay>	50226173	HGNC:14082	ANLN	
MGI:88031	Anxa7		Anxa7		MP:0001260		Anxa7<+>|Anxa7<tm1Pll>	50233068	HGNC:545	ANXA7	
MGI:101919	Ap1g1		Ap1g1		MP:0011100		Ap1g1<tm1b(EUCOMM)Hmgu>	50217242	HGNC:555	AP1G1	
MGI:1098244	Ap1s1		Ap1s1		MP:0011100		Ap1s1<tm1.1(KOMP)Vlcg>	50230803	HGNC:559	AP1S1	
MGI:1919020	Ap2b1		Ap2b1		MP:0011100		Ap2b1<em1(IMPC)J>	50220380	HGNC:563	AP2B1	
MGI:88039	Apc		Apc		MP:0008762		Apc<tm2Mmt>	50218644	HGNC:583	APC	
MGI:88042	Apex1		Apex1		MP:0011101		Apex1<+>|Apex1<tm1Ecf>	50222913	HGNC:587	APEX1	
MGI:2385110	Aph1a		Aph1a		MP:0011100		Aph1a<tm1b(KOMP)Mbp>	50231946	HGNC:29509	APH1A	
MGI:1346086	Aplnr		Aplnr		MP:0011101		Aplnr<tm1.1Tq>	50217275	HGNC:339	APLNR	
MGI:88052	Apob		Apob		MP:0011101		Apob<tm1.1Zc>|Apob<tm1Zc>	50217436	HGNC:603	APOB	
MGI:88058	Apoh		Apoh		MP:0011101		Apoh<tm1Krl>	50231720	HGNC:616	APOH	
MGI:103201	Aqp1		Aqp1		MP:0011101		Aqp1<tm1Ask>	50217448	HGNC:633	AQP1	
MGI:106215	Aqp5		Aqp5		MP:0011101		Aqp5<tm1Amn>|Aqp5<tm1Ask>	50233088	HGNC:638	AQP5	
MGI:88064	Ar		Ar		MP:0001260		Ar<Tfm-Jms>|Ar<tm1(AR)Dmr>|Ar<tm3(AR)Dmr>	50217453	HGNC:644	AR	
MGI:99433	Arf4		Arf4		MP:0011100		Arf4<tm1b(KOMP)Wtsi>	50229393	HGNC:655	ARF4	
MGI:2442988	Arfgef1		Arfgef1		MP:0011100		Arfgef1<em1(IMPC)Hmgu>	50222901	HGNC:15772	ARFGEF1	
MGI:2442985	Arglu1		Arglu1		MP:0011100		Arglu1<em1(IMPC)J>	50217466	HGNC:25482	ARGLU1	
MGI:2443818	Arhgap29		Arhgap29		MP:0011100		Arhgap29<em1(IMPC)J>	50217473	HGNC:30207	ARHGAP29	
MGI:1916882	Arhgef12		Arhgef12		MP:0011101		Arhgef12<tm1Sgkd>	50225923	HGNC:14193	ARHGEF12	
MGI:2142567	Arhgef18		Arhgef18		MP:0011100		Arhgef18<tm1b(KOMP)Mbp>	50217483	HGNC:17090	ARHGEF18	
MGI:1860493	Arhgef7		Arhgef7		MP:0011100		Arhgef7<tm1a(EUCOMM)Wtsi>	50217486	HGNC:15607	ARHGEF7	
MGI:1926129	Arid1b		Arid1b		MP:0011100		Arid1b<em1(IMPC)Tcp>	50221598	HGNC:18040	ARID1B	
MGI:1924294	Arid2		Arid2		MP:0011100		Arid2<tm1a(EUCOMM)Wtsi>	50221926	HGNC:18037	ARID2	
MGI:1328360	Arid3a		Arid3a		MP:0011100		Arid3a<tm1b(KOMP)Wtsi>	50223890	HGNC:3031	ARID3A	
MGI:1344363	Arih1		Arih1		MP:0011100		Arih1<em1(IMPC)Tcp>	50228601	HGNC:689	ARIH1	
MGI:1344361	Arih2		Arih2		MP:0011100		Arih2<tm1.1(KOMP)Vlcg>	50228577	HGNC:690	ARIH2	
MGI:2442308	Arl15		Arl15		MP:0011100		Arl15<em1(IMPC)H>	50217494	HGNC:25945	ARL15	
MGI:1929699	Arl3		Arl3		MP:0011101		Arl3<Gt(OST263303)Lex>	50217496	HGNC:694	ARL3	
MGI:1927136	Arl6		Arl6		MP:0011069		Arl6<tm2Vcs>	50217684	HGNC:13210	ARL6	
MGI:1916449	Armc2		Armc2		MP:0011100		Armc2<tm1b(EUCOMM)Hmgu>	50219459	HGNC:23045	ARMC2	
MGI:2442071	Gprasp2		Gprasp2		MP:0001260		Gprasp2<tm1.1Jpe>	50233108	HGNC:42000	ARMCX5-GPRASP2	
MGI:88071	Arnt		Arnt		MP:0011100,MP:0011101		Arnt<em1(IMPC)H>|Arnt<tm1Bra>	50217504	HGNC:700	ARNT	
MGI:107188	Arnt2		Arnt2		MP:0001260		Arnt2<M1Btlr>|Arnt2<em1Btlr>	50217505	HGNC:16876	ARNT2	
MGI:1928896	Arpc1a		Arpc1a		MP:0011100		Arpc1a<em1(IMPC)J>	50229279	HGNC:703	ARPC1A	
MGI:1923959	Arpc2		Arpc2		MP:0011100		Arpc2<tm1a(EUCOMM)Wtsi>	50222344	HGNC:705	ARPC2	
MGI:1928375	Arpc3		Arpc3		MP:0011100		Arpc3<tm1a(EUCOMM)Wtsi>	50231256	HGNC:706	ARPC3	
MGI:1929743	Asb2		Asb2		MP:0011100		Asb2<tm2b(KOMP)Wtsi>	50217528	HGNC:16012	ASB2	
MGI:1922702	Ascc2		Ascc2		MP:0011100		Ascc2<tm1a(EUCOMM)Wtsi>|Ascc2<tm1b(EUCOMM)Wtsi>	50230847	HGNC:24103	ASCC2	
MGI:1925237	Ascc3		Ascc3		MP:0011100		Ascc3<em1(IMPC)Bay>	50226859	HGNC:18697	ASCC3	
MGI:1913653	Asf1a		Asf1a		MP:0011100		Asf1a<tm1b(KOMP)Wtsi>	50217526	HGNC:20995	ASF1A	
MGI:2183158	Ash1l		Ash1l		MP:0011100		Ash1l<tm2b(EUCOMM)Hmgu>	50221887	HGNC:19088	ASH1L	
MGI:1344416	Ash2l		Ash2l		MP:0011100		Ash2l<tm1b(EUCOMM)Wtsi>	50220789	HGNC:744	ASH2L	
MGI:87853	A|a		a		MP:0001260,MP:0002080,MP:0008762		A<y>|A<y>|A<w>|a<16H>|a<jl10>|a<jl41>|a<jl85>|a<l>|a<x>	50217537	HGNC:745	ASIP	
MGI:1922552	Asxl2		Asxl2		MP:0011101		Asxl2<Gt(AQ0356)Wtsi>	50232437	HGNC:23805	ASXL2	
MGI:1919214	Atad3a		Atad3a		MP:0011100		Atad3a<tm1a(KOMP)Wtsi>	50217549	HGNC:25567	ATAD3A	
MGI:1919214	Atad3a		Atad3a		MP:0011100		Atad3a<tm1a(KOMP)Wtsi>	50217549	HGNC:24007	ATAD3B	
MGI:1919214	Atad3a		Atad3a		MP:0011100		Atad3a<tm1a(KOMP)Wtsi>	50217549	HGNC:32151	ATAD3C	
MGI:2442925	Atad5		Atad5		MP:0011100		Atad5<em1(IMPC)Bay>	50218140	HGNC:25752	ATAD5	
MGI:2448730	Atcay		Atcay		MP:0011100		Atcay<em1(IMPC)Bay>	50217774	HGNC:779	ATCAY	
MGI:1333870	Ate1		Ate1		MP:0011100		Ate1<em1(IMPC)Ccpcz>	50230330	HGNC:782	ATE1	
MGI:88096	Atf4		Atf4		MP:0011100		Atf4<tm1(KOMP)Mbp>	50217554	HGNC:786	ATF4	
MGI:1196429	Atg13		Atg13		MP:0011100		Atg13<tm2b(EUCOMM)Hmgu>	50230819	HGNC:29091	ATG13	
MGI:1261775	Atg14		Atg14		MP:0011100		Atg14<em1(IMPC)Mbp>	50229885	HGNC:19962	ATG14	
MGI:1924290	Atg16l1		Atg16l1		MP:0002080,MP:0011100		Atg16l1<tm1a(EUCOMM)Wtsi>	50220894	HGNC:21498	ATG16L1	
MGI:1915091	Atg3		Atg3		MP:0011100		Atg3<tm1b(EUCOMM)Hmgu>	50217425	HGNC:20962	ATG3	
MGI:1929492	Atl2		Atl2		MP:0011100		Atl2<tm2b(EUCOMM)Hmgu>	50217499	HGNC:24047	ATL2	
MGI:1354735	Atp11a		Atp11a		MP:0011100		Atp11a<tm1a(KOMP)Wtsi>	50227381	HGNC:13552	ATP11A	
MGI:2180801	Atp13a1		Atp13a1		MP:0011100		Atp13a1<em1(IMPC)Tcp>	50233132	HGNC:24215	ATP13A1	
MGI:2685387	Atp13a3		Atp13a3		MP:0011101		Atp13a3<em2H>	50232674	HGNC:24113	ATP13A3	
MGI:88105	Atp1a1		Atp1a1		MP:0011100		Atp1a1<Gt(OST31117)Lex>|Atp1a1<em1(IMPC)Ccpcz>|Atp1a1<tm1Ling>	50217562	HGNC:799	ATP1A1	
MGI:88106	Atp1a2		Atp1a2		MP:0001260		Atp1a2<tm1.1Tmklh>|Atp1a2<+>	50217593	HGNC:800	ATP1A2	
MGI:88107	Atp1a3		Atp1a3		MP:0011100		Atp1a3<tm1b(EUCOMM)Hmgu>	50217594	HGNC:801	ATP1A3	
MGI:88108	Atp1b1		Atp1b1		MP:0011100		Atp1b1<em1(IMPC)Mbp>	50218136	HGNC:804	ATP1B1	
MGI:107788	Atp1b3		Atp1b3		MP:0011100		Atp1b3<em1(IMPC)Bay>	50217564	HGNC:806	ATP1B3	
MGI:105058	Atp2a1		Atp2a1		MP:0011100		Atp2a1<tm1b(EUCOMM)Hmgu>	50217148	HGNC:811	ATP2A1	
MGI:88110	Atp2a2		Atp2a2		MP:0011100,MP:0011101		Atp2a2<tm1Fwuy>|Atp2a2<tm1b(EUCOMM)Hmgu>	50217565	HGNC:812	ATP2A2	
MGI:104653	Atp2b1		Atp2b1		MP:0011100		Atp2b1<tm1b(KOMP)Wtsi>	50225074	HGNC:814	ATP2B1	
MGI:107801	Atp5f1b		Atp5f1b		MP:0011100		Atp5f1b<tm1b(EUCOMM)Hmgu>	50217568	HGNC:830	ATP5F1B	
MGI:1913293	Atp5f1d		Atp5f1d		MP:0011100		Atp5f1d<em1(IMPC)Bay>	50217570	HGNC:837	ATP5F1D	
MGI:1855697	Atp5f1e		Atp5f1e		MP:0011100		Atp5f1e<tm1b(EUCOMM)Wtsi>	50217571	HGNC:838	ATP5F1E	
MGI:1855697	Atp5f1e		Atp5f1e		MP:0011100		Atp5f1e<tm1b(EUCOMM)Wtsi>	50217571	HGNC:34026	ATP5F1EP2	
MGI:1351597	Atp5mg		Atp5mg		MP:0011100		Atp5mg<tm1b(EUCOMM)Hmgu>	50224411	HGNC:14247	ATP5MG	
MGI:1351597	Atp5mg		Atp5mg		MP:0011100		Atp5mg<tm1b(EUCOMM)Hmgu>	50224411	HGNC:13213	ATP5MGL	
MGI:1100495	Atp5pb		Atp5pb		MP:0011100		Atp5pb<tm1b(EUCOMM)Wtsi>	50217572	HGNC:840	ATP5PB	
MGI:106341	Atp5po		Atp5po		MP:0011100		Atp5po<tm1.1(KOMP)Vlcg>	50217580	HGNC:850	ATP5PO	
MGI:103286	Atp6v0a1		Atp6v0a1		MP:0011100		Atp6v0a1<tm1b(EUCOMM)Hmgu>	50217588	HGNC:865	ATP6V0A1	
MGI:2153480	Atp6v0a4		Atp6v0a4		MP:0011100		Atp6v0a4<tm1(KOMP)Vlcg>	50233141	HGNC:866	ATP6V0A4	
MGI:1890510	Atp6v0b		Atp6v0b		MP:0011100		Atp6v0b<em1(IMPC)J>	50228743	HGNC:861	ATP6V0B	
MGI:1201778	Atp6v0d1		Atp6v0d1		MP:0011100		Atp6v0d1<tm1b(EUCOMM)Hmgu>	50219249	HGNC:13724	ATP6V0D1	
MGI:1923502	Atp6v0e2		Atp6v0e2		MP:0011100		Atp6v0e2<em1(IMPC)Bay>	50229599	HGNC:21723	ATP6V0E2	
MGI:1201780	Atp6v1a		Atp6v1a		MP:0011100		Atp6v1a<em1(IMPC)Bay>	50217590	HGNC:851	ATP6V1A	
MGI:109618	Atp6v1b2		Atp6v1b2		MP:0011100		Atp6v1b2<tm1b(KOMP)Wtsi>	50217591	HGNC:854	ATP6V1B2	
MGI:1913585	Atp6v1c1		Atp6v1c1		MP:0011100		Atp6v1c1<tm1b(NCOM)Mfgc>	50217592	HGNC:856	ATP6V1C1	
MGI:1921084	Atp6v1d		Atp6v1d		MP:0011100		Atp6v1d<tm1b(EUCOMM)Hmgu>	50230641	HGNC:13527	ATP6V1D	
MGI:894326	Atp6v1e1		Atp6v1e1		MP:0011100		Atp6v1e1<em1(IMPC)Rbrc>	50217585	HGNC:857	ATP6V1E1	
