MouseMGIID	MarkerSymbol	MarkerName	MouseSymbol	MouseName	MP_ID	MP_Term	AlleleAccID	HomologyClusterID	HumanNCBIorMGIID	HumanSymbol	HumanName
MGI:1096865	Aqp2		Aqp2		MP:0001924		Aqp2<cph>	50233087	HGNC:634	AQP2	
MGI:107387	Aqp4		Aqp4		MP:0001923		Aqp4<tm1Gghu>	50226121	HGNC:637	AQP4	
MGI:88064	Ar		Ar		MP:0001922		Ar<tm1Fcl>|Ar<tm4(AR)Dmr>	50217453	HGNC:644	AR	
MGI:2178103	Arhgdia		Arhgdia		MP:0001923		Arhgdia<tm1Ytk>	50228650	HGNC:678	ARHGDIA	
MGI:2175912	Arid5b		Arid5b		MP:0001922		Arid5b<tm1Pjh>	50227364	HGNC:17362	ARID5B	
MGI:88077	Arsa		Arsa		MP:0001922		Arsa<tm1Gie>	50229425	HGNC:713	ARSA	
MGI:2183158	Ash1l		Ash1l		MP:0001922		Ash1l<Gt(AL0395)Wtsi>	50221887	HGNC:19088	ASH1L	
MGI:1914186	Asph		Asph		MP:0001923		Asph<tm1Jed>	50233126	HGNC:757	ASPH	
MGI:1334448	Aspm		Aspm		MP:0001922,MP:0001923		Aspm<Gt(AA0137)Wtsi>|Aspm<Gt(AJ0069)Wtsi>	50221233	HGNC:19048	ASPM	
MGI:3046414	Astl		Astl		MP:0001923		Astl<tm1Dean>|Astl<tm1Lex>	50221120	HGNC:31704	ASTL	
MGI:2444798	Atad2b		Atad2b		MP:0001923		Atad2b<Tg(Tyr)2295B-4Ove>	50226906	HGNC:29230	ATAD2B	
MGI:1913869	Atat1		Atat1		MP:0001922		Atat1<tm1.2Phep>	50224355	HGNC:21186	ATAT1	
MGI:2448730	Atcay		Atcay		MP:0001922		Atcay<ji-hes>	50217774	HGNC:779	ATCAY	
MGI:88096	Atf4		Atf4		MP:0001922		Atf4<tm1Aki>|Atf4<tm1Tow>	50217554	HGNC:786	ATF4	
MGI:107202	Atm		Atm		MP:0001924		Atm<tm1Pmc>	50218983	HGNC:795	ATM	
MGI:104725	Atn1		Atn1		MP:0001922		Atn1<tm1Rexu>	50220777	HGNC:3033	ATN1	
MGI:105368	Atp2b2		Atp2b2		MP:0001924		Atp2b2<dfw-2J>	50225075	HGNC:815	ATP2B2	
MGI:103297	Atp7b		Atp7b		MP:0001923		Atp7b<tx>	50227447	HGNC:870	ATP7B	
MGI:1914581	Atp8b3		Atp8b3		MP:0001922		Atp8b3<tm1Gar>	50226156	HGNC:13535	ATP8B3	
MGI:1330826	Atp9a		Atp9a		MP:0001924		Atp9a<em1Bcgen>	50233144	HGNC:13540	ATP9A	
MGI:1919819	Bbs5		Bbs5		MP:0001924		Bbs5<tm1a(EUCOMM)Wtsi>	50230789	HGNC:970	BBS5	
MGI:88139	Bcl2l1		Bcl2l1		MP:0001923		Bcl2l1<tm1Mam>	50217697	HGNC:992	BCL2L1	
MGI:107187	Bcl6		Bcl6		MP:0001922		Bcl6<tm1Htno>	50217698	HGNC:1001	BCL6	
MGI:88145	Bdnf		Bdnf		MP:0001922		Bdnf<tm2(Ntf5)Jae>	50231672	HGNC:1033	BDNF	
MGI:1346332	Best1		Best1		MP:0001922		Best1<tm1Web>	50225731	HGNC:12703	BEST1	
MGI:1933388	Bicc1		Bicc1		MP:0001924		Bicc1<m1Btlr>	50217731	HGNC:19351	BICC1	
MGI:1096381	Bmal1		Bmal1		MP:0001924		Bmal1<tm1Bra>	50217506	HGNC:701	BMAL1	
MGI:1316745	Bmp15		Bmp15		MP:0001923		Bmp15<tm1Zuk>	50221893	HGNC:1068	BMP15	
MGI:88180	Bmp4		Bmp4		MP:0001923		Bmp4<+>|Bmp4<tm1Blh>	50217765	HGNC:1071	BMP4	
MGI:104515	Bmp8a		Bmp8a		MP:0001922		Bmp8a<tm1Blh>	50217768	HGNC:21650	BMP8A	
MGI:104515	Bmp8a		Bmp8a		MP:0001922		Bmp8a<tm1Blh>	50217768	HGNC:1075	BMP8B	
MGI:1097164	Bnc1		Bnc1		MP:0001923		Bnc1<tm1.1Nju>|Bnc1<tm1.1Nju>|Bnc1<+>	50221454	HGNC:1081	BNC1	
MGI:1913689	Borcs7		Borcs7		MP:0001922		Borcs7<Q87X>	50229915	HGNC:23516	BORCS7	
MGI:1338871	Btrc		Btrc		MP:0001922		Btrc<tm1Paga>	50233225	HGNC:1144	BTRC	
MGI:1100510	Bub1		Bub1		MP:0001922		Bub1<tm3.1Jvd>	50225712	HGNC:1148	BUB1	
MGI:1925368	4930451I11Rik		4930451I11Rik		MP:0001922		4930451I11Rik<em1Nino>|4930451I11Rik<em1Osb>	50233252	HGNC:26346	C16orf92	
MGI:2685917	4930590J08Rik		4930590J08Rik		MP:0001922		4930590J08Rik<em1Qsh>	50233313	HGNC:25320	C3orf20	
MGI:1914181	1700010I14Rik		1700010I14Rik		MP:0001922		1700010I14Rik<em1Osb>	50233333	HGNC:21233	C6orf118	
MGI:88269	Car2		Car2		MP:0001922		Car2<n>	50217921	HGNC:1373	CA2	
MGI:1927065	Cables1		Cables1		MP:0001923		Cables1<tm1Lrz>	50227480	HGNC:25097	CABLES1	
MGI:1918227	Cabs1		Cabs1		MP:0001922		Cabs1<em1Ntu>	50233353	HGNC:30710	CABS1	
MGI:1918382	Cabyr		Cabyr		MP:0001922		Cabyr<em1Osb>	50233354	HGNC:15569	CABYR	
MGI:109482	Cacna1a		Cacna1a		MP:0001922,MP:0001923,MP:0001924		Cacna1a<tg-rol>|Cacna1a<tg>	50217935	HGNC:1388	CACNA1A	
MGI:1929813	Cacna2d2		Cacna2d2		MP:0001922,MP:0001923		Cacna2d2<du-td>|Cacna2d2<du>	50217941	HGNC:1400	CACNA2D2	
MGI:88258	Camk4		Camk4		MP:0001923		Camk4<tm1Arm>	50229206	HGNC:1464	CAMK4	
MGI:1309489	Cask		Cask		MP:0001923		Cask<Tg(Bnlf1)1Wln>	50218042	HGNC:1497	CASK	
MGI:1914327	Catsperz		Catsperz		MP:0001922		Catsperz<tm1(KOMP)Mbp>	50233382	HGNC:19231	CATSPERZ	
MGI:1333833	Cbfa2t2		Cbfa2t2		MP:0001924		Cbfa2t2<em1Dare>	50224515	HGNC:1536	CBFA2T2	
MGI:108515	Cbx3		Cbx3		MP:0001924		Cbx3<Gt(ROSANBetageo)10C2Masn>	50218682	HGNC:1553	CBX3	
MGI:3026882	Ccdc87		Ccdc87		MP:0001922		Ccdc87<tm1(KOMP)Vlcg>	50223447	HGNC:25579	CCDC87	
MGI:108042	Ccna1		Ccna1		MP:0001922		Ccna1<+>|Ccna1<tm1Coll>	50221625	HGNC:1577	CCNA1	
MGI:2685134	Ccnb1ip1		Ccnb1ip1		MP:0001924		Ccnb1ip1<mei4>	50233450	HGNC:19437	CCNB1IP1	
MGI:1329034	Ccne2		Ccne2		MP:0001922		Ccne2<tm1Boa>	50218166	HGNC:1590	CCNE2	
MGI:1333783	Ccs		Ccs		MP:0001923		Ccs<tm1Pcw>	50229825	HGNC:1613	CCS	
MGI:88348	Cd9		Cd9		MP:0001923		Cd9<tm1Bcx>	50233497	HGNC:1709	CD9	
MGI:2442676	Cdc14a		Cdc14a		MP:0001922		Cdc14a<em1Jgao>	50218813	HGNC:1718	CDC14A	
MGI:2441808	Cdc14b		Cdc14b		MP:0001922,MP:0001923		Cdc14b<tm1.2Pzg>	50218812	HGNC:1719	CDC14B	
MGI:2441808	Cdc14b		Cdc14b		MP:0001922,MP:0001923		Cdc14b<tm1.2Pzg>	50218812	HGNC:22427	CDC14C	
MGI:1859866	Cdc20		Cdc20		MP:0001923		Cdc20<Gt(XE368)Byg>|Cdc20<tm1Jvd>	50229108	HGNC:1723	CDC20	
MGI:104772	Cdk2		Cdk2		MP:0001922,MP:0001924		Cdk2<+>|Cdk2<tm1.1Jro>|Cdk2<tm1Kald>|Cdk2<tm1Sgo>	50228579	HGNC:1771	CDK2	
MGI:88357	Cdk4		Cdk4		MP:0001922		Cdk4<tm1Bbd>|Cdk4<tm1Kiyo>	50230190	HGNC:1773	CDK4	
MGI:1277162	Cdk6		Cdk6		MP:0001923		Cdk6<tm1Bbd>	50226402	HGNC:1777	CDK6	
MGI:1342295	Celf1		Celf1		MP:0001922,MP:0001923		Celf1<tm1Cba>	50217810	HGNC:2549	CELF1	
MGI:88376	Cenpb		Cenpb		MP:0001923		Cenpb<tm1Khac>	50233542	HGNC:1852	CENPB	
MGI:1920389	Cenpv		Cenpv		MP:0001923		Cenpv<tm1d(EUCOMM)Hmgu>	50225167	HGNC:29920	CENPV	
MGI:108084	Cep250		Cep250		MP:0001923		Cep250<tm1b(EUCOMM)Wtsi>	50233546	HGNC:1859	CEP250	
MGI:1915185	Ces5a		Ces5a		MP:0001922		Ces5a<em1Zuk>	50218665	HGNC:26459	CES5A	
MGI:1922687	Cfap97d1		Cfap97d1		MP:0001922		Cfap97d1<em1Osb>|Cfap97d1<tm1a(KOMP)Wtsi>	50233562	HGNC:37241	CFAP97D1	
MGI:88388	Cftr		Cftr		MP:0001922,MP:0001923		Cftr<+>|Cftr<tm1Unc>|Cftr<tm1Kth>|Cftr<tm1Unc>	50217128	HGNC:1884	CFTR	
MGI:96782	Lhb		Lhb		MP:0001924		Lhb<tm1Kmr>	50222438	HGNC:16721	CGB1	
MGI:96782	Lhb		Lhb		MP:0001924		Lhb<tm1Kmr>	50222438	HGNC:16722	CGB2	
MGI:96782	Lhb		Lhb		MP:0001924		Lhb<tm1Kmr>	50222438	HGNC:1886	CGB3	
MGI:96782	Lhb		Lhb		MP:0001924		Lhb<tm1Kmr>	50222438	HGNC:16452	CGB5	
MGI:96782	Lhb		Lhb		MP:0001924		Lhb<tm1Kmr>	50222438	HGNC:16451	CGB7	
MGI:96782	Lhb		Lhb		MP:0001924		Lhb<tm1Kmr>	50222438	HGNC:16453	CGB8	
MGI:2444748	Chd7		Chd7		MP:0001922,MP:0001923		Chd7<+>|Chd7<Gt(S20-7E1)Sor>|Chd7<Ome>|Chd7<+>	50226175	HGNC:20626	CHD7	
MGI:1860776	Chdh		Chdh		MP:0001922		Chdh<tm1Zei>	50232626	HGNC:24288	CHDH	
MGI:99779	Chrna7		Chrna7		MP:0001923		Chrna7<tm1Bay>	50218931	HGNC:15781	CHRFAM7A	
MGI:99779	Chrna7		Chrna7		MP:0001923		Chrna7<tm1Bay>	50218931	HGNC:1960	CHRNA7	
MGI:2138283	Chst10		Chst10		MP:0001922,MP:0001923		Chst10<tm1Mifu>	50222922	HGNC:19650	CHST10	
MGI:2384887	Chtf18		Chtf18		MP:0001922		Chtf18<tm1.1KhK>	50229863	HGNC:18435	CHTF18	
MGI:1915349	Cibar1		Cibar1		MP:0001922		Cibar1<tm1b(KOMP)Wtsi>	50220622	HGNC:30452	CIBAR1	
MGI:88417	Clcn1		Clcn1		MP:0001923,MP:0001924		Clcn1<adr-mto6J>|Clcn1<adr>	50219150	HGNC:2019	CLCN1	
MGI:103555	Clcn3		Clcn3		MP:0001922		Clcn3<tm1Lamb>	50221020	HGNC:2021	CLCN3	
MGI:1352754	Clic4		Clic4		MP:0001923		Clic4<tm1Jce>	50218143	HGNC:13518	CLIC4	
MGI:1928401	Clip1		Clip1		MP:0001922		Clip1<tm1Gal>	50219034	HGNC:10461	CLIP1	
MGI:2445153	Clspn		Clspn		MP:0001923		Clspn<tm1(KOMP)Vlcg>|Clspn<+>	50233639	HGNC:19715	CLSPN	
MGI:2142888	Cmtm4		Cmtm4		MP:0001922		Cmtm4<em1Wlh>	50231491	HGNC:19175	CMTM4	
MGI:1918123	Cnbd2		Cnbd2		MP:0001922		Cnbd2<tm1Dwac>	50233646	HGNC:16145	CNBD2	
MGI:1858201	Cntnap1		Cntnap1		MP:0001922		Cntnap1<shm-5J>	50218050	HGNC:8011	CNTNAP1	
MGI:88454	Col4a1		Col4a1		MP:0001924		Col4a1<Bru>|Col4a1<+>	50222201	HGNC:2202	COL4A1	
MGI:3044182	Cox6b2		Cox6b2		MP:0001922		Cox6b2<em1Osb>	50226889	HGNC:24380	COX6B2	
MGI:101932	Cpe		Cpe		MP:0001924		Cpe<fat>	50226188	HGNC:2303	CPE	
MGI:108442	Cpeb1		Cpeb1		MP:0001922		Cpeb1<tm1Rcht>	50218861	HGNC:21744	CPEB1	
MGI:2443075	Cpeb3		Cpeb3		MP:0001923		Cpeb3<em1Gaoxu>|Cpeb3<tm1.2Yshu>	50225878	HGNC:21746	CPEB3	
MGI:104727	Cplx1		Cplx1		MP:0001924		Cplx1<tm2Bros>	50233667	HGNC:2309	CPLX1	
MGI:1913948	Cpsf6		Cpsf6		MP:0001924		Cpsf6<+>|Cpsf6<em1Bcgen>	50228611	HGNC:13871	CPSF6	
MGI:88495	Crem		Crem		MP:0001922		Crem<tm1Saco>|Crem<+>	50222322	HGNC:2352	CREM	
MGI:98815	Crisp2		Crisp2		MP:0001922		Crisp2<tm1a(KOMP)Mbp>	50233676	HGNC:12024	CRISP2	
MGI:88519	Crybb2		Crybb2		MP:0001923		Crybb2<tm1Itl>	50231963	HGNC:2398	CRYBB2	
MGI:1919082	Csl		Csl		MP:0001922		Csl<tm1(KOMP)Vlcg>	50228805	HGNC:2422	CS	
MGI:1339753	Csf1		Csf1		MP:0001922,MP:0001923		Csf1<op>	50219213	HGNC:2432	CSF1	
MGI:1339758	Csf1r		Csf1r		MP:0001922		Csf1r<tm1Ers>	50218872	HGNC:2433	CSF1R	
MGI:95707	Gh		Gh		MP:0001923		Gh<Sma1>|Gh<Sma1>|Gh<+>	50222625	HGNC:2440	CSH1	
MGI:95707	Gh		Gh		MP:0001923		Gh<Sma1>|Gh<Sma1>|Gh<+>	50222625	HGNC:2441	CSH2	
MGI:95707	Gh		Gh		MP:0001923		Gh<Sma1>|Gh<Sma1>|Gh<+>	50222625	HGNC:2442	CSHL1	
MGI:102519	Cst3		Cst3		MP:0001922		Cst3<+>|Cst3<tm1(CST3*L68Q)Cnw>	50233696	HGNC:2475	CST3	
MGI:88275	Ctnna2		Ctnna2		MP:0001922		Ctnna2<cdf>	50223288	HGNC:2510	CTNNA2	
MGI:1914487	Cul4a		Cul4a		MP:0001923		Cul4a<tm1.2Pra>	50230902	HGNC:2554	CUL4A	
MGI:88568	Cux1		Cux1		MP:0001922		Cux1<tm2Ejn>	50219267	HGNC:2557	CUX1	
MGI:1914657	Cylc1		Cylc1		MP:0001922		Cylc1<em1Chnsr>|Cylc1<em2Chnsr>	50233738	HGNC:2582	CYLC1	
MGI:88586	Cyp17a1		Cyp17a1		MP:0001922		Cyp17a1<+>|Cyp17a1<tm1Vpap>	50219307	HGNC:2593	CYP17A1	
MGI:88587	Cyp19a1		Cyp19a1		MP:0001922		Cyp19a1<tm1Esi>|Cyp19a1<tm1Sih>|Cyp19a1<tm1Toda>	50217452	HGNC:2594	CYP19A1	
MGI:91860	Dcaf8		Dcaf8		MP:0001922		Dcaf8<em1Rbren>	50227630	HGNC:24891	DCAF8	
MGI:94872	Dcn		Dcn		MP:0001923		Dcn<tm1Ioz>	50219387	HGNC:2705	DCN	
MGI:1277171	Dcx		Dcx		MP:0001922		Dcx<tm1Caw>	50226821	HGNC:2714	DCX	
MGI:94876	Ddc		Ddc		MP:0001923		Ddc<tm1Umon>	50217508	HGNC:2719	DDC	
MGI:2150302	Ddhd1		Ddhd1		MP:0001922		Ddhd1<tm1.1Katn>|Ddhd1<tm1Katn>	50219394	HGNC:19714	DDHD1	
MGI:1345277	Ddr2		Ddr2		MP:0001922,MP:0001924		Ddr2<slie>|Ddr2<tm1.1(cre/Esr1*)Rcow>|Ddr2<tm1a(EUCOMM)Wtsi>|Ddr2<tm1b(EUCOMM)Wtsi>	50227592	HGNC:2731	DDR2	
MGI:2385955	Defb19		Defb19		MP:0001923		Defb19<em1Cya>	50233846	HGNC:18099	DEFB119	
MGI:1344352	Dido1		Dido1		MP:0001922,MP:0001923		Dido1<tm1Cmar>	50219379	HGNC:2680	DIDO1	
MGI:2153518	Dmbx1		Dmbx1		MP:0001923		Dmbx1<tm1Bhr>	50219484	HGNC:19026	DMBX1	
MGI:105393	Dmc1		Dmc1		MP:0001923,MP:0001924		Dmc1<+>|Dmc1<Mei11>|Dmc1<tm1Jcs>|Dmc1<tm1Tkm>	50229985	HGNC:2927	DMC1	
MGI:94909	Dmd		Dmd		MP:0001923		Dmd<mdx>	50218483	HGNC:2928	DMD	
MGI:1917176	Dnah17		Dnah17		MP:0001922		Dnah17<em2Qsh>	50233893	HGNC:2946	DNAH17	
MGI:1270129	Dnaja1		Dnaja1		MP:0001922		Dnaja1<tm1Kate>	50219491	HGNC:5229	DNAJA1	
MGI:1859287	Dnmt3l		Dnmt3l		MP:0001924		Dnmt3l<tm1Bes>|Dnmt3l<tm1Enl>|Dnmt3l<tm1Scot>	50233899	HGNC:2980	DNMT3L	
MGI:1920958	Dppa3		Dppa3		MP:0001923		Dppa3<tm1Dcp>	50233909	HGNC:19199	DPPA3	
MGI:2157525	Dppa4		Dppa4		MP:0001923		Dppa4<tm1.1Hjf>	50233910	HGNC:19200	DPPA4	
MGI:94924	Drd2		Drd2		MP:0001923		Drd2<tm1Ebo>	50219883	HGNC:3023	DRD2	
MGI:3036280	Duox2		Duox2		MP:0001924		Duox2<thyd>	50219999	HGNC:13273	DUOX2	
MGI:103012	E2f4		E2f4		MP:0001922,MP:0001923		E2f4<tm1Lees>	50220966	HGNC:3118	E2F4	
MGI:1931001	Edaradd		Edaradd		MP:0001923		Edaradd<cr>	50231888	HGNC:14341	EDARADD	
MGI:1916556	Efcab9		Efcab9		MP:0001922		Efcab9<em1Chng>|Efcab9<em2Chng>	50233945	HGNC:34530	EFCAB9	
MGI:1339998	Efemp1		Efemp1		MP:0001924		Efemp1<tm2Lmar>	50232766	HGNC:3218	EFEMP1	
MGI:107444	Efna5		Efna5		MP:0001923		Efna5<tm1Ddmo>	50217308	HGNC:3225	EFNA5	
MGI:1919619	Ehd4		Ehd4		MP:0001922		Ehd4<tm1.1Haba>	50223706	HGNC:3245	EHD4	
MGI:1341822	Eif4h		Eif4h		MP:0001923		Eif4h<Gt(Ex279)Byg>	50228529	HGNC:12741	EIF4H	
MGI:1858960	Elovl2		Elovl2		MP:0001922		Elovl2<+>|Elovl2<tm1Jaco>	50229966	HGNC:14416	ELOVL2	
MGI:1916933	Emc10		Emc10		MP:0001922,MP:0001923		Emc10<Gt(OST181617)Lex>|Emc10<tm1.2Smoc>	50220482	HGNC:27609	EMC10	
MGI:1918483	Enkur		Enkur		MP:0001922		Enkur<tm1Hmf>	50233965	HGNC:28388	ENKUR	
MGI:98277	Epha4		Epha4		MP:0001922		Epha4<rb-2J>|Epha4<rb>	50218231	HGNC:3388	EPHA4	
MGI:1096338	Ephb6/Trpv6		Ephb6		MP:0001922		Ephb6/Trpv6<tm1.1Mfre>	50227437	HGNC:3396	EPHB6	
MGI:1915003	Eqtn		Eqtn		MP:0001922		Eqtn<tm1Gar>	50233982	HGNC:1359	EQTN	
MGI:95412	Ercc1		Ercc1		MP:0001924		Ercc1<tm2Jhjh>	50231165	HGNC:3433	ERCC1	
MGI:95413	Ercc2		Ercc2		MP:0001923		Ercc2<tm2(ERCC2)Jhjh>	50229305	HGNC:3434	ERCC2	
MGI:2654144	Ercc6l		Ercc6l		MP:0001923		Ercc6l<tm1.2Ajlc>|Ercc6l<+>	50226561	HGNC:20794	ERCC6L	
MGI:1352467	Esr1		Esr1		MP:0001922,MP:0001924		Esr1<tm1Arnal>|Esr1<tm1Ksk>|Esr1<tm5.1Ksk>	50220163	HGNC:3467	ESR1	
MGI:109392	Esr2		Esr2		MP:0001923		Esr2<tm1.1Ksk>|Esr2<tm1Mma>|Esr2<tm1Unc>	50220164	HGNC:3468	ESR2	
MGI:1890596	Evc		Evc		MP:0001924		Evc<tm1Jago>	50234006	HGNC:3497	EVC	
MGI:1355322	Exosc10		Exosc10		MP:0001923		Exosc10<em1Dean>	50230659	HGNC:9138	EXOSC10	
MGI:2147968	Ezhip		Ezhip		MP:0001923		Ezhip<em1Marg>	50234013	HGNC:33738	EZHIP	
MGI:1921395	F13a1		F13a1		MP:0001923		F13a1<tm1Gdi>	50220289	HGNC:3531	F13A1	
MGI:2684939	Fam170a		Fam170a		MP:0001922		Fam170a<em1Osb>	50234022	HGNC:27963	FAM170A	
MGI:1923676	Fam209		Fam209		MP:0001922		Fam209<em1Osb>	50234034	HGNC:16100	FAM209A	
MGI:1923676	Fam209		Fam209		MP:0001922		Fam209<em1Osb>	50234034	HGNC:16101	FAM209B	
MGI:1341823	Fanca		Fanca		MP:0001922,MP:0001923		Fanca<tm1.1Wong>|Fanca<tm1Faw>|Fanca<tm1Wong>	50232008	HGNC:3582	FANCA	
MGI:95480	Fancc		Fancc		MP:0001923		Fancc<tm1Mgo>	50230247	HGNC:3584	FANCC	
MGI:2448480	Fancd2		Fancd2		MP:0001924		Fancd2<tm1Hou>	50231728	HGNC:3585	FANCD2	
MGI:1920025	Fance		Fance		MP:0001922		Fance<Tg(Tyr)2364E-2a2Ove>	50232010	HGNC:3586	FANCE	
MGI:1926471	Fancg		Fancg		MP:0001922,MP:0001923,MP:0001924		Fancg<tm1Ada>|Fancg<tm1Faw>	50229578	HGNC:3588	FANCG	
MGI:2444639	Fbxo38		Fbxo38		MP:0001922		Fbxo38<em1Crmk>	50221275	HGNC:28844	FBXO38	
MGI:3616091	Fer1l5		Fer1l5		MP:0001922		Fer1l5<tm1Osb>	50234113	HGNC:19044	FER1L5	
MGI:1891427	Fgf23		Fgf23		MP:0001924		Fgf23<tm1Tyam>	50231893	HGNC:3680	FGF23	
MGI:95524	Fgfr3		Fgfr3		MP:0001923		Fgfr3<+>|Fgfr3<tm5.1Cxd>	50221344	HGNC:3690	FGFR3	
MGI:1338762	Fhl2		Fhl2		MP:0001923		Fhl2<em1Huag>	50229508	HGNC:3703	FHL2	
MGI:95543	Fkbp4		Fkbp4		MP:0001922		Fkbp4<tm1Shou>	50234119	HGNC:3720	FKBP4	
MGI:95556	Flna		Flna		MP:0001923		Flna<+>|Flna<tm1.2Caw>	50221127	HGNC:3754	FLNA	
